NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1538730625,827.9680,5000000,750,26667
3767310,1538730685,849.4600,5000000,50,400000
3767310,1538730745,837.0400,5000000,50,400000
3767310,1538730805,830.0200,5000000,50,400000
3767310,1538730865,826.4800,5000000,50,400000
3767310,1538730925,820.6400,5000000,50,400000
3767310,1538731067,777.2800,5000000,50,400000
3767310,1538731105,881.6600,5000000,50,400000
3767310,1538731165,778.8000,5000000,50,400000
3767310,1538731225,804.8200,5000000,50,400000
3767310,1538731285,805.1400,5000000,50,400000
3767310,1538731345,817.2600,5000000,50,400000
3767310,1538731405,855.7600,5000000,50,400000
3767310,1538731465,804.1200,5000000,50,400000
3767310,1538731525,803.4000,5000000,50,400000
3767310,1538731765,790.1800,5000000,50,400000
3767310,1538731825,796.7000,5000000,50,400000
3767310,1538731885,810.9400,5000000,50,400000
3767310,1538731945,817.4200,5000000,50,400000
3767310,1538732005,810.9600,5000000,50,400000
3767310,1538732065,836.2200,5000000,50,400000
3767310,1538732125,806.6000,5000000,50,400000
3767310,1538732305,782.6600,5000000,50,400000
3767310,1538732365,783.0000,5000000,50,400000
3767310,1538732425,782.7600,5000000,50,400000
3767310,1538732485,783.9600,5000000,50,400000
3767310,1538732545,783.0200,5000000,50,400000
3767310,1538732605,782.1000,5000000,50,400000
3767310,1538732665,782.8400,5000000,50,400000
3767310,1538732725,782.9000,5000000,50,400000
3767310,1538732905,781.2800,5000000,50,400000
3767310,1538732965,777.3200,5000000,50,400000
3767310,1538733025,781.4000,5000000,50,400000
3767310,1538733085,752.3000,5000000,50,400000
3767310,1538733145,781.3800,5000000,50,400000
3767310,1538733205,781.3800,5000000,50,400000
3767310,1538733265,776.3200,5000000,50,400000
3767310,1538733325,780.6400,5000000,50,400000
3767310,1538733453,747.1400,5000000,50,400000
3767310,1538733505,775.5400,5000000,50,400000
3767310,1538733565,772.3200,5000000,50,400000
3767310,1538733625,774.2600,5000000,50,400000
3767310,1538733685,774.2400,5000000,50,400000
3767310,1538733745,774.0800,5000000,50,400000
3767310,1538733805,774.4600,5000000,50,400000
3767310,1538733865,774.2800,5000000,50,400000
3767310,1538733925,775.7000,5000000,50,400000
3767310,1538733985,776.2400,5000000,50,400000
3767310,1538734045,783.2400,5000000,50,400000
