NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1538524765,257.2400,5000000,50,400000
3767310,1538524825,280.2200,5000000,50,400000
3767310,1538524885,286.1800,5000000,50,400000
3767310,1538524945,283.6400,5000000,50,400000
3767310,1538525005,284.9600,5000000,50,400000
3767310,1538525065,290.1200,5000000,50,400000
3767310,1538525125,279.8000,5000000,50,400000
3767310,1538525185,290.1000,5000000,50,400000
3767310,1538525245,290.7200,5000000,50,400000
3767310,1538525305,289.2000,5000000,50,400000
3767310,1538525365,290.6000,5000000,50,400000
3767310,1538525425,298.0800,5000000,50,400000
3767310,1538525485,308.7400,5000000,50,400000
3767310,1538525545,277.5200,5000000,50,400000
3767310,1538525605,278.9600,5000000,50,400000
3767310,1538525665,312.9600,5000000,50,400000
3767310,1538525725,302.8800,5000000,50,400000
3767310,1538525785,310.9400,5000000,50,400000
3767310,1538525845,278.2200,5000000,50,400000
3767310,1538525905,288.5400,5000000,50,400000
3767310,1538525965,300.7600,5000000,50,400000
3767310,1538526025,280.7600,5000000,50,400000
3767310,1538526085,279.6400,5000000,50,400000
3767310,1538526145,276.9200,5000000,50,400000
3767310,1538526205,282.1600,5000000,50,400000
3767310,1538526265,294.7800,5000000,50,400000
3767310,1538526325,293.4800,5000000,50,400000
3767310,1538526385,291.5800,5000000,50,400000
3767310,1538526445,345.4000,5000000,50,400000
3767310,1538526505,296.8600,5000000,50,400000
3767310,1538526565,296.4400,5000000,50,400000
3767310,1538526625,292.0800,5000000,50,400000
3767310,1538526685,271.5800,5000000,50,400000
3767310,1538526745,270.7600,5000000,50,400000
3767310,1538526805,267.4000,5000000,50,400000
3767310,1538526865,296.9800,5000000,50,400000
3767310,1538526925,297.9800,5000000,50,400000
3767310,1538526985,297.1200,5000000,50,400000
3767310,1538527045,267.9200,5000000,50,400000
3767310,1538527105,267.7600,5000000,50,400000
3767310,1538527165,269.3000,5000000,50,400000
3767310,1538527225,266.0200,5000000,50,400000
3767310,1538527285,295.5000,5000000,50,400000
3767310,1538527345,281.0600,5000000,50,400000
3767310,1538527405,279.2200,5000000,50,400000
3767310,1538527465,272.5000,5000000,50,400000
3767310,1538527525,278.5000,5000000,50,400000
3767310,1538527585,279.8600,5000000,50,400000
3767310,1538527645,302.6200,5000000,50,400000
3767310,1538527705,300.9600,5000000,50,400000
3767310,1538527765,280.8000,5000000,50,400000
3767310,1538527825,304.0400,5000000,50,400000
3767310,1538527885,307.9200,5000000,50,400000
3767310,1538527945,284.7800,5000000,50,400000
3767310,1538528005,284.1600,5000000,50,400000
3767310,1538528065,282.5400,5000000,50,400000
3767310,1538528125,309.1800,5000000,50,400000
3767310,1538528185,287.8000,5000000,50,400000
3767310,1538528245,294.2800,5000000,50,400000
3767310,1538528305,291.3200,5000000,50,400000
3767310,1538528365,291.3600,5000000,50,400000
3767310,1538528425,292.6000,5000000,100,200000
3767310,1538528485,293.2400,5000000,100,200000
3767310,1538528545,294.1500,5000000,100,200000
3767310,1538528605,295.4000,5000000,100,200000
3767310,1538528665,296.3600,5000000,100,200000
3767310,1538528725,298.2100,5000000,100,200000
3767310,1538528785,299.9400,5000000,100,200000
3767310,1538528845,303.6900,5000000,100,200000
3767310,1538528905,304.1900,5000000,100,200000
3767310,1538528965,303.9000,5000000,100,200000
3767310,1538529025,307.7600,5000000,100,200000
3767310,1538529085,307.5700,5000000,100,200000
3767310,1538529145,309.1000,5000000,100,200000
3767310,1538529205,307.9800,5000000,100,200000
3767310,1538529265,308.6100,5000000,100,200000
3767310,1538529325,282.3500,5000000,100,200000
3767310,1538529385,286.7300,5000000,100,200000
3767310,1538529445,291.2300,5000000,100,200000
3767310,1538529505,316.0800,5000000,100,200000
3767310,1538529565,316.8300,5000000,100,200000
3767310,1538529625,316.5400,5000000,100,200000
3767310,1538529685,317.5700,5000000,100,200000
3767310,1538529745,323.8700,5000000,100,200000
3767310,1538529805,441.3300,5000000,100,200000
3767310,1538529865,328.5300,5000000,100,200000
3767310,1538529925,337.3800,5000000,100,200000
3767310,1538529985,338.2400,5000000,100,200000
3767310,1538530045,361.3700,5000000,100,200000
3767310,1538530105,355.4700,5000000,100,200000
3767310,1538530165,355.3800,5000000,100,200000
3767310,1538530225,355.8900,5000000,100,200000
3767310,1538530285,358.2000,5000000,100,200000
3767310,1538530345,357.9800,5000000,100,200000
3767310,1538530405,357.6200,5000000,100,200000
3767310,1538530465,357.9000,5000000,100,200000
3767310,1538530525,357.6600,5000000,100,200000
3767310,1538530585,356.0600,5000000,100,200000
3767310,1538530645,355.8300,5000000,100,200000
3767310,1538530705,355.9900,5000000,100,200000
3767310,1538530765,355.9900,5000000,100,200000
