NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1537742781,999.1600,1000000,200,100000
3767310,1537742841,1023.9400,1000000,200,100000
3767310,1537742901,996.1800,1000000,200,100000
3767310,1537743034,975.3650,1000000,200,100000
3767310,1537743081,1012.9650,1000000,200,100000
3767310,1537743141,1011.2250,1000000,200,100000
3767310,1537743201,1023.9300,1000000,200,100000
3767310,1537743261,1011.9500,1000000,200,100000
3767310,1537743321,1012.2050,1000000,200,100000
3767310,1537743381,1014.2300,1000000,200,100000
3767310,1537743441,1014.6750,1000000,200,100000
3767310,1537743638,1023.6900,1000000,200,100000
3767310,1537743681,1024.0000,1000000,200,100000
3767310,1537743741,1023.5800,1000000,200,100000
3767310,1537743801,1021.0750,1000000,200,100000
3767310,1537743861,1021.7500,1000000,200,100000
3767310,1537743921,1021.4350,1000000,200,100000
3767310,1537743981,1022.0750,1000000,200,100000
3767310,1537744041,1022.2000,1000000,200,100000
3767310,1537744239,998.5200,1000000,200,100000
3767310,1537744281,1020.4800,1000000,200,100000
3767310,1537744341,1019.8800,1000000,200,100000
3767310,1537744401,1023.6450,1000000,200,100000
3767310,1537744461,1021.7950,1000000,200,100000
3767310,1537744521,1021.1200,1000000,200,100000
3767310,1537744581,1021.3850,1000000,200,100000
3767310,1537744641,1022.2150,1000000,200,100000
3767310,1537744838,999.7650,1000000,200,100000
3767310,1537744881,1022.1950,1000000,200,100000
3767310,1537744941,1020.5350,1000000,200,100000
3767310,1537745001,1021.2000,1000000,200,100000
3767310,1537745061,1021.3850,1000000,200,100000
3767310,1537745121,1021.7450,1000000,200,100000
3767310,1537745181,1021.3500,1000000,200,100000
3767310,1537745241,1024.0000,1000000,200,100000
3767310,1537745439,995.7150,1000000,200,100000
3767310,1537745481,1019.5500,1000000,200,100000
3767310,1537745541,1024.0000,1000000,200,100000
3767310,1537745601,1017.5950,1000000,200,100000
3767310,1537745661,1019.1250,1000000,200,100000
3767310,1537745721,1021.1200,1000000,200,100000
3767310,1537745781,1024.0000,1000000,200,100000
3767310,1537745841,1024.0000,1000000,200,100000
3767310,1537746056,992.3850,1000000,200,100000
3767310,1537746081,992.6200,1000000,200,100000
3767310,1537746141,1020.8050,1000000,200,100000
3767310,1537746201,1020.2400,1000000,200,100000
3767310,1537746261,1020.5600,1000000,200,100000
3767310,1537746321,1019.9700,1000000,200,100000
3767310,1537746381,1020.8250,1000000,200,100000
3767310,1537746441,1021.0700,1000000,200,100000
3767310,1537746719,998.9300,1000000,200,100000
3767310,1537746741,1022.1400,1000000,200,100000
3767310,1537746801,1020.2100,1000000,200,100000
3767310,1537746861,1024.0000,1000000,200,100000
3767310,1537746921,1024.0000,1000000,200,100000
3767310,1537746981,1024.0000,1000000,200,100000
3767310,1537747041,1024.0000,1000000,200,100000
3767310,1537747300,1024.0000,1000000,200,100000
3767310,1537747341,1022.5500,1000000,200,100000
3767310,1537747401,1022.2250,1000000,200,100000
3767310,1537747462,1022.8800,2000000,200,100000
3767310,1537747522,1022.4950,2000000,200,100000
3767310,1537747582,1023.0200,2000000,200,100000
3767310,1537747642,1023.1900,2000000,200,100000
3767310,1537747838,1005.2000,2000000,200,100000
3767310,1537747882,1024.0000,2000000,200,100000
3767310,1537747942,1005.7700,2000000,200,100000
3767310,1537748002,1000.7350,2000000,200,100000
3767310,1537748062,1023.6300,2000000,200,100000
3767310,1537748122,1023.0600,2000000,200,100000
3767310,1537748182,1024.0000,2000000,200,100000
3767310,1537748242,1024.0000,2000000,200,100000
3767310,1537748440,1024.0000,2000000,200,100000
3767310,1537748440,1024.0000,2000000,200,100000
3767310,1537748482,1024.0000,2000000,200,100000
3767310,1537748542,1024.0000,2000000,200,100000
3767310,1537748602,1024.0000,2000000,200,100000
3767310,1537748662,1024.0000,2000000,200,100000
3767310,1537748722,1024.0000,2000000,200,100000
3767310,1537748782,1024.0000,2000000,200,100000
3767310,1537748842,1022.4850,2000000,200,100000
3767310,1537749040,997.1550,2000000,200,100000
3767310,1537749040,1001.4950,2000000,200,100000
3767310,1537749082,1022.9900,2000000,200,100000
3767310,1537749142,1022.2550,2000000,200,100000
3767310,1537749202,1022.4100,2000000,200,100000
3767310,1537749262,1022.3300,2000000,200,100000
3767310,1537749322,1022.2900,2000000,200,100000
