NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1537229661,317.3650,1000000,200,100000
3767310,1537229721,323.1350,1000000,200,100000
3767310,1537229781,302.5750,1000000,200,100000
3767310,1537229841,304.1250,1000000,200,100000
3767310,1537229901,302.6450,1000000,200,100000
3767310,1537229961,300.3100,1000000,200,100000
3767310,1537230021,306.7400,1000000,200,100000
3767310,1537230081,304.4300,1000000,200,100000
3767310,1537230141,306.7600,1000000,200,100000
3767310,1537230201,301.0750,1000000,200,100000
3767310,1537230261,301.4500,1000000,200,100000
3767310,1537230321,303.3350,1000000,200,100000
3767310,1537230381,278.6200,1000000,200,100000
3767310,1537230441,282.7600,1000000,200,100000
3767310,1537230501,307.3800,1000000,200,100000
3767310,1537230561,305.0650,1000000,200,100000
3767310,1537230621,307.3750,1000000,200,100000
3767310,1537230681,308.4900,1000000,200,100000
3767310,1537230741,308.7450,1000000,200,100000
3767310,1537230801,303.0250,1000000,200,100000
3767310,1537230861,304.2500,1000000,200,100000
3767310,1537230921,305.0850,1000000,200,100000
3767310,1537230981,307.1300,1000000,200,100000
3767310,1537231041,309.8750,1000000,200,100000
3767310,1537231101,315.2900,1000000,200,100000
3767310,1537231161,310.5750,1000000,200,100000
3767310,1537231221,305.1450,1000000,200,100000
3767310,1537231281,306.7350,1000000,200,100000
3767310,1537231341,307.2600,1000000,200,100000
3767310,1537231401,307.1350,1000000,200,100000
3767310,1537231461,307.0700,1000000,200,100000
3767310,1537231521,304.3650,1000000,200,100000
3767310,1537231581,307.5350,1000000,200,100000
3767310,1537231641,307.1750,1000000,200,100000
3767310,1537231701,307.2750,1000000,200,100000
3767310,1537231761,307.5300,1000000,200,100000
3767310,1537231821,307.7650,1000000,200,100000
3767310,1537231881,306.6900,1000000,200,100000
3767310,1537231941,307.8150,1000000,200,100000
3767310,1537232001,309.7050,1000000,200,100000
3767310,1537232061,308.2050,1000000,200,100000
3767310,1537232121,309.2200,1000000,200,100000
3767310,1537232181,309.8150,1000000,200,100000
3767310,1537232241,308.9400,1000000,200,100000
3767310,1537232301,287.1450,1000000,200,100000
3767310,1537232361,309.7600,1000000,200,100000
3767310,1537232421,310.0200,1000000,200,100000
3767310,1537232481,311.0650,1000000,200,100000
