NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1537781601,571.0600,1000000,200,100000
3767310,1537781661,565.6500,1000000,200,100000
3767310,1537781721,564.9100,1000000,200,100000
3767310,1537781781,556.3750,1000000,200,100000
3767310,1537781841,561.2350,1000000,200,100000
3767310,1537781966,553.2150,1000000,200,100000
3767310,1537782021,563.3350,1000000,200,100000
3767310,1537782081,559.6650,1000000,200,100000
3767310,1537782141,558.7250,1000000,200,100000
3767310,1537782201,568.3750,1000000,200,100000
3767310,1537782261,559.3900,1000000,200,100000
3767310,1537782321,559.8500,1000000,200,100000
3767310,1537782381,556.8800,1000000,200,100000
3767310,1537782441,554.4000,1000000,200,100000
3767310,1537782629,556.1200,1000000,200,100000
3767310,1537782681,566.2350,1000000,200,100000
3767310,1537782741,559.7850,1000000,200,100000
3767310,1537782801,558.4450,1000000,200,100000
3767310,1537782861,557.4850,1000000,200,100000
3767310,1537782921,560.9700,1000000,200,100000
3767310,1537782981,557.0700,1000000,200,100000
3767310,1537783041,557.5650,1000000,200,100000
3767310,1537783176,552.5300,1000000,200,100000
3767310,1537783221,577.2500,1000000,200,100000
3767310,1537783281,564.8200,1000000,200,100000
3767310,1537783341,614.6400,1000000,200,100000
3767310,1537783401,636.2500,1000000,200,100000
3767310,1537783461,631.7100,1000000,200,100000
3767310,1537783521,629.7000,1000000,200,100000
3767310,1537783581,623.5750,1000000,200,100000
3767310,1537783641,576.6200,1000000,200,100000
3767310,1537783830,548.5050,1000000,200,100000
3767310,1537783881,578.5100,1000000,200,100000
3767310,1537783941,571.6950,1000000,200,100000
3767310,1537784001,565.1500,1000000,200,100000
3767310,1537784061,565.3550,1000000,200,100000
3767310,1537784121,572.7700,1000000,200,100000
3767310,1537784181,564.8950,1000000,200,100000
3767310,1537784241,572.0600,1000000,200,100000
3767310,1537784301,590.9400,1000000,200,100000
3767310,1537784372,619.9700,1000000,200,100000
3767310,1537784421,630.7700,1000000,200,100000
3767310,1537784481,623.2000,1000000,200,100000
3767310,1537784541,601.1700,1000000,200,100000
3767310,1537784601,633.1650,1000000,200,100000
3767310,1537784661,571.9150,1000000,200,100000
3767310,1537784721,571.4500,1000000,200,100000
3767310,1537784781,566.3600,1000000,200,100000
3767310,1537784841,565.3250,1000000,200,100000
3767310,1537785113,561.1000,1000000,200,100000
3767310,1537785141,591.3900,1000000,200,100000
3767310,1537785201,569.1900,1000000,200,100000
3767310,1537785261,566.8400,1000000,200,100000
3767310,1537785321,565.7550,1000000,200,100000
3767310,1537785381,565.7150,1000000,200,100000
3767310,1537785441,567.6550,1000000,200,100000
3767310,1537785566,563.8100,1000000,200,100000
3767310,1537785621,571.7350,1000000,200,100000
3767310,1537785681,570.0700,1000000,200,100000
3767310,1537785741,574.8350,1000000,200,100000
3767310,1537785801,567.1350,1000000,200,100000
3767310,1537785862,575.8300,2000000,200,100000
3767310,1537785922,582.6050,2000000,200,100000
3767310,1537785982,586.1550,2000000,200,100000
3767310,1537786042,587.5000,2000000,200,100000
3767310,1537786170,637.3100,2000000,200,100000
3767310,1537786222,653.0350,2000000,200,100000
3767310,1537786282,648.0600,2000000,200,100000
3767310,1537786342,644.9550,2000000,200,100000
3767310,1537786402,634.5800,2000000,200,100000
3767310,1537786462,606.4800,2000000,200,100000
3767310,1537786522,638.7800,2000000,200,100000
3767310,1537786582,635.5200,2000000,200,100000
3767310,1537786642,641.3800,2000000,200,100000
3767310,1537786772,635.2050,2000000,200,100000
3767310,1537786822,653.6200,2000000,200,100000
3767310,1537786882,588.0150,2000000,200,100000
3767310,1537786942,584.6450,2000000,200,100000
3767310,1537787002,586.2750,2000000,200,100000
3767310,1537787062,644.3850,2000000,200,100000
3767310,1537787122,593.9300,2000000,200,100000
3767310,1537787182,590.3400,2000000,200,100000
3767310,1537787242,590.1100,2000000,200,100000
3767310,1537787374,586.2750,2000000,200,100000
3767310,1537787422,598.0500,2000000,200,100000
3767310,1537787482,589.7450,2000000,200,100000
3767310,1537787542,591.0350,2000000,200,100000
3767310,1537787602,584.9000,2000000,200,100000
3767310,1537787662,573.1150,2000000,200,100000
3767310,1537787722,571.4800,2000000,200,100000
3767310,1537787782,570.3000,2000000,200,100000
3767310,1537787842,569.6350,2000000,200,100000
3767310,1537787969,559.3450,2000000,200,100000
3767310,1537788022,572.9800,2000000,200,100000
3767310,1537788082,566.9450,2000000,200,100000
3767310,1537788142,566.1750,2000000,200,100000
3767310,1537788202,566.3650,2000000,200,100000
3767310,1537788262,565.7700,2000000,200,100000
3767310,1537788322,565.3300,2000000,200,100000
3767310,1537788382,537.9300,2000000,200,100000
3767310,1537788442,566.0000,2000000,200,100000
3767310,1537788717,555.6800,2000000,200,100000
3767310,1537788742,589.5800,2000000,200,100000
3767310,1537788802,570.8700,2000000,200,100000
3767310,1537788862,565.9600,2000000,200,100000
3767310,1537788922,565.4900,2000000,200,100000
3767310,1537788982,566.8350,2000000,200,100000
3767310,1537789042,567.7550,2000000,200,100000
3767310,1537789169,560.0300,2000000,200,100000
3767310,1537789222,574.7650,2000000,200,100000
3767310,1537789282,570.4900,2000000,200,100000
3767310,1537789342,566.5650,2000000,200,100000
3767310,1537789402,566.2350,2000000,200,100000
3767310,1537789462,566.8900,2000000,200,100000
3767310,1537789522,567.2000,2000000,200,100000
3767310,1537789582,568.0050,2000000,200,100000
3767310,1537789642,568.2450,2000000,200,100000
3767310,1537789839,560.0950,2000000,200,100000
3767310,1537790028,559.0150,2000000,200,100000
3767310,1537790062,589.4000,2000000,200,100000
3767310,1537790122,577.6800,2000000,200,100000
3767310,1537790182,579.2800,2000000,200,100000
3767310,1537790244,575.3050,4000000,200,100000
