TIMESTAMP,MUX0,MUX1,MUX2,MUX3,MUX4,MUX5,MUX6,MUX7
1572783842,754,796,787,786,15,14,14,13
1572783843,753,793,787,787,15,14,14,13
1572783844,757,793,789,789,14,15,15,15
1572783845,760,797,787,788,14,14,14,13
1572783846,762,796,792,788,13,13,14,14
1572783847,760,798,789,787,13,12,12,13
1572783849,752,796,789,788,15,14,12,13
1572783850,760,788,787,788,13,15,15,14
1572783851,753,797,789,789,14,12,12,13
1572783852,754,797,786,788,14,13,13,12
1572783853,754,796,785,786,14,12,13,13
1572783854,762,788,790,788,13,12,13,14
1572783855,752,792,789,788,14,14,15,14
1572783856,761,786,788,788,14,14,14,14
1572783857,759,797,782,788,13,12,12,13
1572783858,752,792,789,787,13,12,13,14
1572783859,758,793,788,789,15,14,14,14
1572783860,753,798,787,789,15,14,14,13
1572783861,754,793,787,788,13,13,14,14
1572783863,754,796,788,787,13,12,12,12
1572783864,761,792,789,786,14,14,12,12
1572783865,763,789,787,787,16,15,13,14
1572783866,753,793,785,788,15,14,12,12
1572783867,759,796,789,788,13,13,14,15
1572783868,756,796,786,790,12,12,13,13
1572783869,762,789,789,787,14,14,12,12
1572783870,753,792,785,788,13,13,13,13
1572783871,762,788,792,788,13,14,13,14
1572783872,761,797,790,787,13,14,14,15
1572783873,762,792,787,787,14,14,14,14
1572783874,756,792,784,788,13,13,13,14
1572783876,762,794,789,788,13,13,13,13
1572783877,754,789,787,788,14,14,14,14
1572783878,756,796,789,788,14,13,13,12
1572783879,752,790,788,787,13,13,13,14
1572783880,763,793,786,789,14,16,14,15
1572783881,758,792,789,789,15,12,13,12
1572783882,758,788,789,789,13,13,13,13
1572783883,763,790,793,788,14,14,14,14
1572783884,756,789,789,788,13,13,12,13
1572783885,762,788,789,788,13,13,13,13
1572783886,762,793,786,787,13,13,13,12
1572783887,752,796,790,789,13,14,14,14
1572783889,763,793,788,787,15,14,12,12
1572783890,761,790,789,789,12,12,12,12
1572783891,758,799,790,790,14,15,15,14
1572783893,762,797,787,789,13,13,13,14
1572783903,757,795,786,789,14,14,15,13
1572783905,752,787,786,787,13,13,13,13
1572783907,761,796,792,787,13,14,14,14
1572783908,754,796,786,787,15,14,13,13
1572783909,763,795,785,788,14,14,15,14
1572783910,753,790,792,787,14,14,13,13
1572783911,759,788,792,786,13,13,13,13
1572783912,753,796,786,789,13,13,14,14
1572783913,758,796,792,788,14,13,13,12
1572783914,753,797,790,787,13,13,13,14
1572783915,763,793,786,787,12,13,13,13
1572783916,753,792,789,788,14,14,14,14
1572783918,763,793,786,788,13,12,13,14
1572783919,764,789,788,787,14,14,14,14
1572783920,756,788,792,790,15,15,14,13
1572783921,760,787,786,788,13,14,14,14
1572783922,758,789,787,789,15,14,14,13
1572783923,752,790,785,787,13,13,14,14
1572783924,757,790,785,788,14,14,14,15
1572783925,761,792,789,788,14,13,13,13
1572783926,758,795,789,788,14,13,13,13
1572783927,756,792,789,788,12,13,13,13
