NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1538222370,774.5750,1000000,200,100000
3767310,1538222421,804.9100,1000000,200,100000
3767310,1538222481,805.8700,1000000,200,100000
3767310,1538222541,806.3650,1000000,200,100000
3767310,1538222601,805.2400,1000000,200,100000
3767310,1538222661,807.3050,1000000,200,100000
3767310,1538222721,807.0800,1000000,200,100000
3767310,1538222781,803.9600,1000000,200,100000
3767310,1538222841,767.6350,1000000,200,100000
3767310,1538222970,767.3550,1000000,200,100000
3767310,1538223021,801.4100,1000000,200,100000
3767310,1538223081,798.4750,1000000,200,100000
3767310,1538223141,799.3600,1000000,200,100000
3767310,1538223201,795.2550,1000000,200,100000
3767310,1538223261,796.9750,1000000,200,100000
3767310,1538223321,794.3100,1000000,200,100000
3767310,1538223381,793.3800,1000000,200,100000
3767310,1538223441,796.2400,1000000,200,100000
3767310,1538223566,757.9150,1000000,200,100000
3767310,1538223621,794.4750,1000000,200,100000
3767310,1538223681,792.4500,1000000,200,100000
3767310,1538223741,793.1850,1000000,200,100000
3767310,1538223801,795.1500,1000000,200,100000
3767310,1538223861,792.9300,1000000,200,100000
3767310,1538223921,795.1000,1000000,200,100000
3767310,1538223981,792.3800,1000000,200,100000
3767310,1538224041,795.9150,1000000,200,100000
3767310,1538224172,764.5850,1000000,200,100000
3767310,1538224221,805.3350,1000000,200,100000
3767310,1538224281,802.2400,1000000,200,100000
3767310,1538224341,799.5400,1000000,200,100000
3767310,1538224401,803.8100,1000000,200,100000
3767310,1538224461,793.5650,1000000,200,100000
3767310,1538224521,798.4600,1000000,200,100000
3767310,1538224581,809.1150,1000000,200,100000
3767310,1538224641,817.3400,1000000,200,100000
3767310,1538224766,757.9050,1000000,200,100000
3767310,1538224821,785.4250,1000000,200,100000
3767310,1538224881,778.2150,1000000,200,100000
3767310,1538224941,780.4850,1000000,200,100000
3767310,1538225001,779.7850,1000000,200,100000
3767310,1538225061,779.6000,1000000,200,100000
3767310,1538225121,785.0850,1000000,200,100000
3767310,1538225181,783.4700,1000000,200,100000
3767310,1538225241,789.2450,1000000,200,100000
3767310,1538225370,751.8050,1000000,200,100000
3767310,1538225421,784.0550,1000000,200,100000
3767310,1538225481,793.9750,1000000,200,100000
3767310,1538225541,794.5950,1000000,200,100000
3767310,1538225601,778.5550,1000000,200,100000
3767310,1538225661,778.3950,1000000,200,100000
3767310,1538225721,782.8000,1000000,200,100000
3767310,1538225781,784.9200,1000000,200,100000
3767310,1538225841,792.6950,1000000,200,100000
3767310,1538225967,760.8400,1000000,200,100000
3767310,1538226021,793.6300,1000000,200,100000
3767310,1538226081,948.4950,1000000,200,100000
3767310,1538226141,972.1200,1000000,200,100000
3767310,1538226201,795.2650,1000000,200,100000
3767310,1538226261,806.3750,1000000,200,100000
3767310,1538226321,937.7250,1000000,200,100000
3767310,1538226382,973.8700,2000000,200,100000
3767310,1538226442,782.0600,2000000,200,100000
3767310,1538226568,746.3750,2000000,200,100000
3767310,1538226622,784.9300,2000000,200,100000
3767310,1538226682,749.5650,2000000,200,100000
3767310,1538226742,791.1850,2000000,200,100000
3767310,1538226802,779.9200,2000000,200,100000
3767310,1538226862,780.1900,2000000,200,100000
3767310,1538226922,779.9900,2000000,200,100000
3767310,1538226982,781.7100,2000000,200,100000
3767310,1538227042,775.6550,2000000,200,100000
3767310,1538227169,746.0200,2000000,200,100000
3767310,1538227222,787.6700,2000000,200,100000
3767310,1538227282,782.7500,2000000,200,100000
3767310,1538227342,782.0150,2000000,200,100000
3767310,1538227402,780.7600,2000000,200,100000
3767310,1538227462,785.1850,2000000,200,100000
3767310,1538227522,787.2600,2000000,200,100000
3767310,1538227582,792.9500,2000000,200,100000
3767310,1538227642,791.2100,2000000,200,100000
3767310,1538227702,858.2000,2000000,200,100000
3767310,1538227774,739.7050,2000000,200,100000
3767310,1538227822,777.0050,2000000,200,100000
3767310,1538227882,770.7600,2000000,200,100000
3767310,1538227942,770.7750,2000000,200,100000
3767310,1538228002,772.1300,2000000,200,100000
3767310,1538228062,768.8000,2000000,200,100000
3767310,1538228122,767.3400,2000000,200,100000
3767310,1538228182,765.1400,2000000,200,100000
3767310,1538228242,764.0300,2000000,200,100000
3767310,1538228302,763.9700,2000000,200,100000
3767310,1538228370,727.9950,2000000,200,100000
3767310,1538228422,762.3950,2000000,200,100000
3767310,1538228482,762.9050,2000000,200,100000
3767310,1538228542,763.1800,2000000,200,100000
3767310,1538228602,730.6800,2000000,200,100000
3767310,1538228662,764.4300,2000000,200,100000
3767310,1538228722,765.1400,2000000,200,100000
3767310,1538228782,766.6300,2000000,200,100000
3767310,1538228842,767.5600,2000000,200,100000
3767310,1538229047,730.3600,2000000,200,100000
3767310,1538229082,764.5950,2000000,200,100000
3767310,1538229142,764.3200,2000000,200,100000
3767310,1538229202,765.1900,2000000,200,100000
3767310,1538229262,766.6250,2000000,200,100000
3767310,1538229322,768.2600,2000000,200,100000
3767310,1538229382,763.1550,2000000,200,100000
3767310,1538229442,768.0500,2000000,200,100000
3767310,1538229569,733.0550,2000000,200,100000
3767310,1538229622,767.3950,2000000,200,100000
3767310,1538229682,765.4050,2000000,200,100000
3767310,1538229742,767.6250,2000000,200,100000
3767310,1538229802,764.4250,2000000,200,100000
3767310,1538229862,766.6600,2000000,200,100000
3767310,1538229922,770.7000,2000000,200,100000
3767310,1538229982,767.0150,2000000,200,100000
3767310,1538230042,766.6300,2000000,200,100000
3767310,1538230171,735.1700,2000000,200,100000
3767310,1538230222,765.7750,2000000,200,100000
3767310,1538230290,767.3500,2000000,200,100000
3767310,1538230342,764.1050,2000000,200,100000
3767310,1538230404,767.1200,4000000,200,100000
3767310,1538230464,766.5400,4000000,200,100000
3767310,1538230524,733.6400,4000000,200,100000
3767310,1538230584,768.6900,4000000,200,100000
3767310,1538230644,766.2550,4000000,200,100000
3767310,1538230849,727.3950,4000000,200,100000
3767310,1538230884,760.0250,4000000,200,100000
3767310,1538230944,764.4150,4000000,200,100000
3767310,1538231004,760.6150,4000000,200,100000
3767310,1538231064,765.7750,4000000,200,100000
3767310,1538231124,766.0000,4000000,200,100000
3767310,1538231184,765.6200,4000000,200,100000
3767310,1538231244,763.9100,4000000,200,100000
3767310,1538231373,729.4550,4000000,200,100000
3767310,1538231424,761.6900,4000000,200,100000
3767310,1538231484,769.1150,4000000,200,100000
3767310,1538231544,764.0050,4000000,200,100000
3767310,1538231604,761.7750,4000000,200,100000
3767310,1538231664,762.6450,4000000,200,100000
3767310,1538231724,763.6950,4000000,200,100000
3767310,1538231784,765.7550,4000000,200,100000
3767310,1538231844,764.4900,4000000,200,100000
3767310,1538232054,730.4750,4000000,200,100000
3767310,1538232084,759.2600,4000000,200,100000
3767310,1538232144,759.0750,4000000,200,100000
3767310,1538232204,760.3800,4000000,200,100000
3767310,1538232264,763.6350,4000000,200,100000
3767310,1538232324,770.9700,4000000,200,100000
3767310,1538232384,761.8450,4000000,200,100000
3767310,1538232444,732.0350,4000000,200,100000
3767310,1538232504,772.6150,4000000,200,100000
3767310,1538232576,735.1300,4000000,200,100000
3767310,1538232624,765.5050,4000000,200,100000
3767310,1538232684,775.5000,4000000,200,100000
3767310,1538232744,774.8850,4000000,200,100000
3767310,1538232804,761.9600,4000000,200,100000
3767310,1538232864,775.7350,4000000,200,100000
3767310,1538232924,764.7750,4000000,200,100000
3767310,1538232984,779.3500,4000000,200,100000
3767310,1538233044,781.4050,4000000,200,100000
3767310,1538233175,725.2700,4000000,200,100000
3767310,1538233224,764.4550,4000000,200,100000
3767310,1538233284,763.3050,4000000,200,100000
3767310,1538233344,760.8450,4000000,200,100000
3767310,1538233404,763.5700,4000000,200,100000
3767310,1538233464,763.8300,4000000,200,100000
3767310,1538233524,763.2950,4000000,200,100000
3767310,1538233584,762.2700,4000000,200,100000
3767310,1538233644,762.1800,4000000,200,100000
3767310,1538233704,763.9450,4000000,200,100000
3767310,1538233853,726.3000,4000000,200,100000
3767310,1538233884,763.4050,4000000,200,100000
3767310,1538233944,762.1250,4000000,200,100000
3767310,1538234004,763.0350,4000000,200,100000
3767310,1538234064,758.3100,4000000,200,100000
3767310,1538234124,759.4200,4000000,200,100000
3767310,1538234184,760.2450,4000000,200,100000
3767310,1538234244,761.6500,4000000,200,100000
3767310,1538234376,723.5750,4000000,200,100000
3767310,1538234424,727.5000,4000000,200,100000
