NODE,TIMESTAMP,VALUE,SLEEP_TIME_MOISTURE,MOISTURE_NSAMPLE,MOISTURE_NSAMPLE_TIME
3767310,1537653621,670.8100,1000000,200,100000
3767310,1537653681,672.3950,1000000,200,100000
3767310,1537653741,674.3550,1000000,200,100000
3767310,1537653801,643.2700,1000000,200,100000
3767310,1537653861,676.7500,1000000,200,100000
3767310,1537653921,678.1100,1000000,200,100000
3767310,1537653981,679.4150,1000000,200,100000
3767310,1537654041,680.6800,1000000,200,100000
3767310,1537654190,656.1850,1000000,200,100000
3767310,1537654221,689.4450,1000000,200,100000
3767310,1537654281,688.3800,1000000,200,100000
3767310,1537654341,692.8650,1000000,200,100000
3767310,1537654401,705.4750,1000000,200,100000
3767310,1537654461,701.6050,1000000,200,100000
3767310,1537654521,700.8700,1000000,200,100000
3767310,1537654581,701.7800,1000000,200,100000
3767310,1537654641,702.3300,1000000,200,100000
3767310,1537654771,674.9300,1000000,200,100000
3767310,1537654821,707.0950,1000000,200,100000
3767310,1537654881,708.2450,1000000,200,100000
3767310,1537654941,710.1750,1000000,200,100000
3767310,1537655001,711.3400,1000000,200,100000
3767310,1537655061,706.3800,1000000,200,100000
3767310,1537655121,707.1500,1000000,200,100000
3767310,1537655181,709.1250,1000000,200,100000
3767310,1537655241,713.5200,1000000,200,100000
3767310,1537655388,694.6800,1000000,200,100000
3767310,1537655421,723.9150,1000000,200,100000
3767310,1537655481,732.2350,1000000,200,100000
3767310,1537655541,734.9050,1000000,200,100000
3767310,1537655601,736.6000,1000000,200,100000
3767310,1537655661,743.4950,1000000,200,100000
3767310,1537655721,751.2100,1000000,200,100000
3767310,1537655781,808.9500,1000000,200,100000
3767310,1537655841,721.2100,1000000,200,100000
3767310,1537655984,696.6950,1000000,200,100000
3767310,1537656021,692.4400,1000000,200,100000
3767310,1537656081,698.0300,1000000,200,100000
3767310,1537656141,695.7500,1000000,200,100000
3767310,1537656201,695.5450,1000000,200,100000
3767310,1537656261,695.0250,1000000,200,100000
3767310,1537656321,697.4300,1000000,200,100000
3767310,1537656381,697.2100,1000000,200,100000
3767310,1537656441,701.0200,1000000,200,100000
3767310,1537656501,698.8250,1000000,200,100000
3767310,1537656585,673.1400,1000000,200,100000
3767310,1537656621,692.0150,1000000,200,100000
3767310,1537656681,698.5900,1000000,200,100000
3767310,1537656741,696.1350,1000000,200,100000
3767310,1537656801,695.1650,1000000,200,100000
3767310,1537656861,695.3650,1000000,200,100000
3767310,1537656921,692.4650,1000000,200,100000
3767310,1537656981,692.5100,1000000,200,100000
3767310,1537657041,690.9850,1000000,200,100000
3767310,1537657176,661.2050,1000000,200,100000
3767310,1537657222,688.8050,2000000,200,100000
3767310,1537657282,686.8150,2000000,200,100000
3767310,1537657342,688.2950,2000000,200,100000
3767310,1537657402,688.2550,2000000,200,100000
3767310,1537657462,688.6550,2000000,200,100000
3767310,1537657522,689.2000,2000000,200,100000
3767310,1537657582,691.6700,2000000,200,100000
3767310,1537657642,661.2000,2000000,200,100000
3767310,1537657702,694.4500,2000000,200,100000
3767310,1537657774,675.1800,2000000,200,100000
3767310,1537657822,704.4100,2000000,200,100000
3767310,1537657882,695.6350,2000000,200,100000
3767310,1537657942,698.2200,2000000,200,100000
3767310,1537658002,701.6450,2000000,200,100000
3767310,1537658062,703.7900,2000000,200,100000
3767310,1537658122,922.6400,2000000,200,100000
3767310,1537658182,902.7350,2000000,200,100000
3767310,1537658242,885.6550,2000000,200,100000
3767310,1537658395,679.4100,2000000,200,100000
3767310,1537658422,722.0850,2000000,200,100000
3767310,1537658482,791.6250,2000000,200,100000
3767310,1537658542,771.8700,2000000,200,100000
3767310,1537658602,712.9550,2000000,200,100000
3767310,1537658662,705.5950,2000000,200,100000
3767310,1537658722,699.6400,2000000,200,100000
3767310,1537658782,701.0400,2000000,200,100000
3767310,1537658842,701.2600,2000000,200,100000
3767310,1537659088,673.5400,2000000,200,100000
3767310,1537659142,707.4250,2000000,200,100000
3767310,1537659202,709.8950,2000000,200,100000
3767310,1537659262,708.7900,2000000,200,100000
3767310,1537659322,717.2950,2000000,200,100000
3767310,1537659382,729.2050,2000000,200,100000
3767310,1537659442,707.9750,2000000,200,100000
3767310,1537659593,866.8200,2000000,200,100000
3767310,1537659622,707.4150,2000000,200,100000
3767310,1537659682,703.8450,2000000,200,100000
3767310,1537659742,704.2050,2000000,200,100000
3767310,1537659802,700.6300,2000000,200,100000
3767310,1537659862,697.1500,2000000,200,100000
3767310,1537659922,699.0600,2000000,200,100000
3767310,1537659982,698.0000,2000000,200,100000
3767310,1537660042,699.3550,2000000,200,100000
3767310,1537660177,680.8000,2000000,200,100000
3767310,1537660222,710.0400,2000000,200,100000
3767310,1537660282,711.9150,2000000,200,100000
3767310,1537660342,707.8300,2000000,200,100000
3767310,1537660402,776.5900,2000000,200,100000
3767310,1537660462,702.5150,2000000,200,100000
3767310,1537660522,703.9200,2000000,200,100000
3767310,1537660582,704.4950,2000000,200,100000
3767310,1537660642,710.4550,2000000,200,100000
3767310,1537660789,690.1800,2000000,200,100000
3767310,1537660824,724.8600,4000000,200,100000
3767310,1537660884,730.0000,4000000,200,100000
3767310,1537660944,730.2250,4000000,200,100000
3767310,1537661004,722.4900,4000000,200,100000
3767310,1537661064,731.1900,4000000,200,100000
3767310,1537661124,717.1100,4000000,200,100000
3767310,1537661184,724.5400,4000000,200,100000
3767310,1537661244,730.2550,4000000,200,100000
3767310,1537661377,681.9450,4000000,200,100000
3767310,1537661424,720.4700,4000000,200,100000
3767310,1537661484,684.3400,4000000,200,100000
3767310,1537661544,712.8250,4000000,200,100000
3767310,1537661604,705.2500,4000000,200,100000
3767310,1537661664,703.6950,4000000,200,100000
3767310,1537661724,705.6450,4000000,200,100000
3767310,1537661784,705.3000,4000000,200,100000
3767310,1537661844,704.2450,4000000,200,100000
3767310,1537662051,678.1250,4000000,200,100000
3767310,1537662084,712.7600,4000000,200,100000
3767310,1537662339,680.7300,4000000,200,100000
3767310,1537662384,714.3100,4000000,200,100000
3767310,1537662444,714.2900,4000000,200,100000
3767310,1537662504,712.6800,4000000,200,100000
3767310,1537662629,677.8750,4000000,200,100000
3767310,1537662684,714.5800,4000000,200,100000
3767310,1537662744,717.3800,4000000,200,100000
3767310,1537662804,715.6950,4000000,200,100000
3767310,1537662864,753.0000,4000000,200,100000
3767310,1537662924,779.0850,4000000,200,100000
3767310,1537662984,672.8800,4000000,200,100000
